,adress,Latitude,Longitude,
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 130А",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 131",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 132",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 132А",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 133",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 134",57.8166994,28.3344734,1998
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 134А",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 134Б",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 135",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 136",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 136А",57.8166994,28.3344734,2001
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 137",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 137А",57.8166994,28.3344734,2010
,"обл. Псковская, г. Псков, ул. Военный городок-3, д. 138",57.8166994,28.3344734,1999
,"обл. Псковская, г. Псков, ул. Войсковая, д. 3",57.80227619999999,28.3182318,1959
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 7",57.7995546,28.3496516,1945
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 9а",57.7998263,28.3509322,1957
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 24",57.80222589999999,28.3570588,1958
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 26",57.8024709,28.357394,1951
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 28",57.8027311,28.3578433,1951
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 30",57.80296930000001,28.3582513,1951
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 34а",57.8034586,28.3586287,1907
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 36",57.8037179,28.3584443,1973
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 40",57.8050483,28.3601689,1961
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 42",57.8055874,28.3606365,1962
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 44",57.8064032,28.3612902,1963
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 46",57.80716169999999,28.3619765,1963
,"обл. Псковская, г. Псков, ул. Вокзальная, д. 48",57.8076575,28.362628,1960
,"обл. Псковская, г. Псков, ул. Вокзальная, д. Дом 44",57.8038746,28.3595414,1963
,"обл. Псковская, г. Псков, ул. Волкова, д. 1",57.8233347,28.3377379,1965
,"обл. Псковская, г. Псков, ул. Волкова, д. 2",57.8236169,28.3359273,1964
,"обл. Псковская, г. Псков, ул. Волкова, д. 2",57.8236169,28.3359273,1964
,"обл. Псковская, г. Псков, ул. Волкова, д. 3",57.82375500000001,28.3366216,1970
,"обл. Псковская, г. Псков, ул. Волкова, д. 5",57.82423799999999,28.3360608,2006
,"обл. Псковская, г. Псков, ул. Волкова, д. 7",57.8245227,28.3345112,1961
,"обл. Псковская, г. Псков, ул. Воровского, д. 22",57.82058259999999,28.3482269,1959
,"обл. Псковская, г. Псков, ул. Гдовская, д. 3",57.830642,28.333027,2018
,"обл. Псковская, г. Псков, ул. Гдовская, д. 6а",57.8318643,28.3330994,1996
,"обл. Псковская, г. Псков, ул. Гдовская, д. 25",57.83439359999999,28.3359232,2018
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 9",57.80816960000001,28.3031203,1993
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 9а",57.80816960000001,28.3031203,1982
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 11",57.80809799999999,28.3017188,1995
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 15",57.8074885,28.3025107,1994
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 17",57.8075435,28.3014602,1955
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 19",57.807023,28.3021217,2000
,"обл. Псковская, г. Псков, ул. Генерала Маргелова, д. 23",57.8060935,28.3001118,2008
,"обл. Псковская, г. Псков, ул. Георгиевская, д. 4",57.8102707,28.3319949,1917
,"обл. Псковская, г. Псков, ул. Георгиевская, д. 6/8",57.81037990000001,28.333263,1950
,"обл. Псковская, г. Псков, ул. Германа, д. 32",57.7980035,28.3906273,1977
,"обл. Псковская, г. Псков, ул. Герцена, д. 6А",57.8224071,28.3343545,1917
,"обл. Псковская, г. Псков, ул. Герцена, д. 8",57.8227736,28.3361344,1959
,"обл. Псковская, г. Псков, ул. Герцена, д. 8а",57.8228392,28.3350675,1996
,"обл. Псковская, г. Псков, ул. Герцена, д. 10",57.82322800000001,28.3361345,1968
,"обл. Псковская, г. Псков, ул. Герцена, д. 14",57.82336900000001,28.3392491,1965
,"обл. Псковская, г. Псков, ул. Герцена, д. 16",57.82423549999999,28.3417399,1985
,"обл. Псковская, г. Псков, ул. Гоголя, д. 1",57.8120769,28.3394678,1951
,"обл. Псковская, г. Псков, ул. Гоголя, д. 5",57.81283680000001,28.3403227,1966
,"обл. Псковская, г. Псков, ул. Гоголя, д. 6",57.813136,28.340003,1994
,"обл. Псковская, г. Псков, ул. Гоголя, д. 7",57.81332649999999,28.3408992,1958
,"обл. Псковская, г. Псков, ул. Гоголя, д. 7-б",57.81332649999999,28.3408992,1917
,"обл. Псковская, г. Псков, ул. Гоголя, д. 8",57.81358280000001,28.3403748,1876
,"обл. Псковская, г. Псков, ул. Гоголя, д. 9",57.81382239999999,28.3415975,1984
,"обл. Псковская, г. Псков, ул. Гоголя, д. 22",57.8165449,28.343808,1961
,"обл. Псковская, г. Псков, ул. Гоголя, д. 25",57.81707669999999,28.3451734,1988
,"обл. Псковская, г. Псков, ул. Гоголя, д. 26",57.8169767,28.3442398,1993
,"обл. Псковская, г. Псков, ул. Гоголя, д. 27",57.8175748,28.3456216,2002
,"обл. Псковская, г. Псков, ул. Гоголя, д. 33",57.81807120000001,28.3460509,2012
,"обл. Псковская, г. Псков, ул. Гоголя, д. 39",57.8187203,28.3470427,2010
,"обл. Псковская, г. Псков, ул. Гоголя, д. 46",57.82017810000001,28.348977,1955
,"обл. Псковская, г. Псков, ул. Гоголя, д. 48",57.8204087,28.3493909,1954
,"обл. Псковская, г. Псков, ул. Гоголя, д. 51",57.82022550000001,28.3495773,1961
,"обл. Псковская, г. Псков, ул. Гоголя, д. 53",57.82035619999999,28.3498973,1958
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 7",57.8099227,28.3154665,1968
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 9",57.8098511,28.3146044,1963
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 12",57.80976369999999,28.3177117,1958
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 13",57.8106922,28.3126873,1990
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 13А",57.80931570000001,28.3095944,1998
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 14",57.8091034,28.3168699,1890
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 15",57.8092467,28.3144601,1988
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 15А",57.80925149999999,28.3130618,1991
,"обл. Псковская, г. Псков, ул. Госпитальная, д. 17",57.80996159999999,28.3117806,1981
,"обл. Псковская, г. Псков, ул. Гражданская, д. 2",57.81321099999999,28.351185,1962
,"обл. Псковская, г. Псков, ул. Гражданская, д. 2А",57.8129035,28.350905,1991
,"обл. Псковская, г. Псков, ул. Гражданская, д. 5",57.8118394,28.3493117,1961
,"обл. Псковская, г. Псков, ул. Гражданская, д. 5а",57.81201,28.348034,1964
,"обл. Псковская, г. Псков, ул. Гражданская, д. 5а, к. 2",57.81201,28.348034,2008
,"обл. Псковская, г. Псков, ул. Гражданская, д. 7",57.8091799,28.3468071,1964
,"обл. Псковская, г. Псков, ул. Гражданская, д. 7А",57.8091099,28.3458284,1975
,"обл. Псковская, г. Псков, ул. Гражданская, д. 8",57.81153740000001,28.3496854,1957
,"обл. Псковская, г. Псков, ул. Гражданская, д. 9А",57.808251,28.345027,1972
,"обл. Псковская, г. Псков, ул. Гражданская, д. 11б",57.8090458,28.3441438,1964
,"обл. Псковская, г. Псков, ул. Гражданская, д. 12",57.80580219999999,28.343397,1962
,"обл. Псковская, г. Псков, ул. Гражданская, д. 14",57.8049399,28.3419556,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 15",57.80687589999999,28.3438234,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 15А",57.80660009999999,28.3431316,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 16",57.805333,28.341066,1963
,"обл. Псковская, г. Псков, ул. Гражданская, д. 17",57.806321,28.3423519,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 17А",57.80681079999999,28.3422165,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 18",57.8046509,28.3409183,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 20",57.8050469,28.3398451,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 21",57.8055774,28.3401651,1962
,"обл. Псковская, г. Псков, ул. Гражданская, д. 23",57.8053453,28.3394308,1991
,"обл. Псковская, г. Псков, ул. Гражданская, д. 24",57.80457020000001,28.3381202,1965
,"обл. Псковская, г. Псков, ул. Гражданская, д. 25",57.8050058,28.3379768,1964
,"обл. Псковская, г. Псков, ул. Гражданская, д. 26",57.80411729999999,28.3382344,1971
,"обл. Псковская, г. Псков, ул. Гражданская, д. 27",57.8046307,28.337412,2008
,"обл. Псковская, г. Псков, ул. Гущина, д. 4",57.8312085,28.3296614,2008
,"обл. Псковская, г. Псков, ул. Гущина, д. 6",57.83126670000001,28.330533,2007
